model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
stacking_pipeline,24006.636939364704,44379.80827168149,15109.370871260926,28569.606451066462,0.9365667383188923,0.7932775457803004
rf_pipeline,17476.69052266048,44622.832116399826,10723.383230395197,28671.602664486974,0.9663819293480541,0.7910073224261308
voting_pipeline,31461.14979377833,47505.05333542065,20257.735419233937,30899.463826269803,0.8910559352509883,0.7631374344328715
svr_pipeline,42765.269203805416,47991.82754313915,27711.601598986137,31286.9560071056,0.7987032262410207,0.7582584036921663
knn_pipeline,0.0,50147.782993742236,0.0,32946.15054452301,1.0,0.7360508397250421
dt_pipeline,46548.39120694455,52434.2069425058,31659.664261554815,36038.70229327702,0.761513530103693,0.7114332976508875
baseline,57399.864125194385,60726.279781320634,38325.26177993275,38952.345973972195,0.6373596521379461,0.6129472466036694
